date,model_rank,code,name,model_score,oc_return_pct,tail_condition_count,tail_flag__range_expansion,tail_flag__close_volatility_expansion,tail_flag__deep_60d_relative_loser,tail_flag__frequent_flat_session,tail_flag__large_positive_overnight,session_range_ratio_5_20,cc_vol_ratio_5_20,xrank_close_momentum_60,flat_oc_rate_20,overnight_last,display_source
2025-06-04,2,5252,日本ナレッジ,0.551066546642663,0.0,1,False,False,False,False,True,0.73002386,0.3441915,0.8974053,0.05,2.2727272727272707,v07_g0_replay
2025-06-05,1,7685,ＢｕｙＳｅｌｌ Ｔｅｃｈｎｏｌｏｇｉｅｓ,0.5525055984453039,-4.831261101243333,0,False,False,False,False,False,0.78818315,0.42681617,0.73321396,0.0,1.675041876046901,v07_g0_replay
2025-06-05,2,195A,ライスカレー,0.5500613695326547,-1.5051740357478804,1,False,False,False,False,True,0.9747205,0.5995847,0.9236049,0.0,2.0952380952381056,v07_g0_replay
2025-06-06,1,6580,ライトアップ,0.5619828203585684,2.5871766029246235,0,False,False,False,False,False,0.7073453,0.7796637,0.79677224,0.0,0.33670033670034627,v07_g0_replay
2025-06-06,2,9612,ラックランド,0.5604582509952181,-2.365787079162873,1,False,False,True,False,False,1.2705282,0.7593478,-0.99701136,0.0,-0.26338893766462146,v07_g0_replay
2025-06-09,1,7782,シンシア,0.5674878748413944,-1.1686143572620988,0,False,False,False,False,False,0.51282024,0.42734075,0.73389274,0.05,-0.327332242225864,v07_g0_replay
2025-06-09,2,9612,ラックランド,0.562768012582645,1.4995313964386137,1,False,False,True,False,False,1.273711,0.6175955,-0.99760264,0.0,-0.27223230490017736,v07_g0_replay
2025-06-10,1,264A,Ｓｃｈｏｏ,0.5960009331319855,0.2358490566037652,2,False,False,True,True,False,0.9679908,0.33484375,-0.9981911,0.1,0.3671970624234966,v07_g0_replay
2025-06-10,2,3529,アツギ,0.5777211079043711,0.987432675044886,1,False,False,False,False,True,1.2657701,1.1972682,-0.064214654,0.0,2.9925187032418865,v07_g0_replay
2025-06-11,1,264A,Ｓｃｈｏｏ,0.6036207769178599,0.3488372093023217,2,False,False,True,True,False,0.8958153,0.33897445,-0.99879444,0.1,0.7125890736342066,v07_g0_replay
2025-06-11,2,7782,シンシア,0.5594573838566018,-0.3389830508474523,0,False,False,False,False,False,0.38907808,0.22014785,0.7052441,0.0,0.0,v07_g0_replay
2025-06-12,1,264A,Ｓｃｈｏｏ,0.6040574811030559,-2.0809248554913284,2,False,False,True,True,False,0.88290274,0.36159512,-0.9981993,0.1,1.17647058823529,v07_g0_replay
2025-06-12,2,6577,ベストワンドットコム,0.5747006801755986,2.6304441569642067,3,True,True,True,False,False,2.3049722,1.9850959,-0.8565426,0.0,0.2020882452004047,v07_g0_replay
2025-06-13,1,264A,Ｓｃｈｏｏ,0.6034415139826422,-1.740139211136893,2,False,False,True,True,False,0.8810165,0.30450225,-0.99819225,0.1,0.2317497103128563,v07_g0_replay
2025-06-13,2,9612,ラックランド,0.5596145476817902,-2.115384615384619,1,False,False,True,False,False,0.99974734,0.43153292,-0.99638444,0.0,0.0,v07_g0_replay
2025-06-16,1,264A,Ｓｃｈｏｏ,0.5669211175574408,-0.4739336492891044,2,False,False,True,False,True,0.9322047,0.27003908,-0.99638987,0.05,1.7709563164108655,v07_g0_replay
2025-06-16,2,9556,ＩＮＴＬＯＯＰ,0.5658047434323746,7.222222222222219,1,False,True,False,False,False,1.4897811,1.8074486,0.7027677,0.05,0.31847133757962887,v07_g0_replay
2025-06-17,1,331A,メディックス,0.5955130620376542,-1.544401544401541,,False,False,,False,False,1.179016,1.121737,,0.0,-0.39447731755424265,v07_g0_replay
2025-06-17,2,5016,ＪＸ金属,0.5823916303774896,3.1102979613172987,,False,False,,False,False,1.3856748,1.4621365,,0.0,1.0353866317168947,v07_g0_replay
2025-06-18,1,3843,フリービット,0.5474936817221282,0.3506311360448766,1,False,True,False,False,False,1.4386071,1.9480536,-0.5958925,0.0,0.708717221828481,v07_g0_replay
2025-06-18,2,4263,サスメド,0.5466808101918074,0.815660685154973,0,False,False,False,False,False,1.2875149,1.0408618,0.24916944,0.0,-0.5979073243647215,v07_g0_replay
2025-06-19,1,3843,フリービット,0.5508652566414303,-0.6271777003484358,1,False,True,False,False,False,1.4271326,1.8679675,-0.54285717,0.0,0.0,v07_g0_replay
2025-06-19,2,4571,ＮＡＮＯ ＭＲＮＡ,0.5504740327370972,8.904109589041088,4,True,True,False,True,True,1.7890939,1.7835748,-0.18977444,0.2,28.030303030303028,v07_g0_replay
2025-06-20,1,334A,ビジュアル・プロセッシング・ジャパン,0.6192959371518967,-1.0302640051513157,,False,False,,False,False,0.9168571,1.0555853,,0.0,0.46265697290150953,v07_g0_replay
